# ★A群（お客さんの 答えを 4桁で 丸めて いる 3か所）の 紙★（2026-09-08）
# ★A群★ exally-formula.js:1310 XIRR ／ :1295 LINEST ／ book.html:9759 数式バー
#   どれも Math.round(… ★*10000)/10000★＝★お客さんの 計算の 答えを 黙って 4桁に する★
#
# ★★一致の 幅は ★測ってから 決めた★（決めてから 測ると 数が 物差し次第で 動く）★★
#
# ★★XIRR … 相対 1e-6★★
#   ★根拠（この 紙の 実測）★
#     ★実Excel の XIRR は ★見当（第3引数）を 変えるだけで 自分の 答えが 動く★
#       1億・3か月ごと・5回   0.5478870794177055 〜 0.5478870868682864  相対 1.36e-8
#       ★1万・1年ごと・3回    0.06023252382874489 〜 0.06023252964019775 相対 9.65e-8★
#       100億・1か月ごと・8回 -0.24437784031033516 〜 -0.24437783285975462 相対 3.05e-8
#       2回だけ              0.09999999403953552 〜 0.09999999776482582  相対 3.73e-8
#     ⇒★★実Excel が 自分自身と 一致しない★★（繰り返し 計算＝止まった 所が 答え）
#     ⇒ 2回だけの 組は 本当の 答えが ちょうど 0.1 なのに 実Excel は 0.099999994
#       ＝★実Excel 自身が 8桁しか 合って いない★
#   ★決め方★ … ★実測の ばらつき 最大 9.65e-8 の 10倍で 1e-6 と 決めた★
#     （私は 最初 1e-9 と 書いた。⇒★実Excel 同士でも 落ちる 幅だった★＝測って 覆した）
#   ★★この 幅で 見逃す 悪さの 大きさ（★守る範囲を 書く★）★★
#     ⇒★相対 1e-6 より 小さい 狂いは この 紙では 捕まりません★
#     ⇒ 今 直そうと して いる 不具合は 相対 ★2.4e-5★（0.5479 対 0.5478870809078217）
#       ＝この 幅の ★24倍 悪い★ので 確実に 捕まる
#   ★見当を 揃えて 比べる★
#     ⇒ 紙に 書いて ある 見当と ★同じ 見当★で 押す事
#     ⇒★見当が 違えば 答えが 違うのは 実Excel も 同じ＝揃えない 比べは 意味が 無い★
#
# ★★LINEST … 幅は ★まだ 決めて いない★★★
#   ⇒ うちを 押してから 決める（★繰り返しでは ないので XIRR より 厳しく 出来るはず★）
#   ★★別の 関数で 裏取り できない★★
#     =INDEX(LINEST(N1:N5,O1:O5),1,1) … ★19.999999999999993★
#     =SLOPE(N1:N5,O1:O5)             … ★20★（ちょうど）
#     ⇒★実Excel の 中で LINEST と SLOPE が 違う 答えを 出す★
#     ⇒★LINEST は LINEST の 数と だけ 比べる★（私は 裏取りの つもりで 入れて いた＝外れ）
#
# ★★数式バーの 逃がし道 … 字が そのまま 同じ（幅 無し）★★
#   ★何と 比べるか★ … ★実Excel が 画面に 出す 字★
#     理由 … お客さんが マスに 打った 式の 答え。実Excel と 同じ 字を 期待する。
#            エンジンの 答えと 比べても「エンジンが 正しい」証明に ならない。
#   ★★実Excel は ★値を 丸めて いない。字だけ 短い★★★
#     =0.1+0.2 … 値 ★0.30000000000000004★／字 [0.3]
#     =1/3     … 値 0.3333333333333333／字 [0.333333]
#     ⇒★字は ★列の 幅で 変わる★（別の 層＝見せ方の 仕事）
#     ⇒★だから『丸めを 外して 見せ方に 任せる』が 実Excel と 同じ 形★
#     ⇒★ただし うちの `toPrecision(15)` が この 道に 効くかは ★別に 押して 確かめる★
#
# ★土台★ ★元本・期間・回数を 変えた 6組★
#   A/B 1億・3か月ごと・5回 ／ C/D 1万・1年ごと・3回 ／ E/F 100億・1か月ごと・8回
#   G/H ★全部プラス（境目）★ ／ I/J ★日付が逆順（境目）★ ／ K/L ★2回だけ（一番短い）★
#   N/O LINEST きれいに乗る（傾き20・切片80） ／ P/Q ★端数が 出る★
# ★見当（第3引数）… 無し ＋ 0.1 / 0.01 / 0.5 / -0.5 / 0 の 5通り★
# ★お金の 答えは AI に 出させない＝実Excel の 実測だけが 正★
#
# ★★材料（機械が 読む）★★ … `#材料<タブ>マス<タブ>値` の 形
#材料	A1	-100000000
#材料	B1	45292
#材料	A2	27500000
#材料	B2	45383
#材料	A3	42500000
#材料	B3	45474
#材料	A4	32500000
#材料	B4	45566
#材料	A5	27500000
#材料	B5	45658
#材料	C1	-10000
#材料	D1	45292
#材料	C2	4000
#材料	D2	45657
#材料	C3	7000
#材料	D3	46022
#材料	E1	-10000000000
#材料	F1	45292
#材料	E2	1300000000
#材料	F2	45323
#材料	E3	1300000000
#材料	F3	45352
#材料	E4	1300000000
#材料	F4	45383
#材料	E5	1300000000
#材料	F5	45413
#材料	E6	1300000000
#材料	F6	45444
#材料	E7	1300000000
#材料	F7	45474
#材料	E8	1300000000
#材料	F8	45505
#材料	G1	100
#材料	H1	45292
#材料	G2	200
#材料	H2	45383
#材料	G3	300
#材料	H3	45474
#材料	I1	-1000
#材料	J1	45474
#材料	I2	600
#材料	J2	45383
#材料	I3	700
#材料	J3	45292
#材料	K1	-1000
#材料	L1	45292
#材料	K2	1100
#材料	L2	45657
#材料	N1	100
#材料	O1	1
#材料	P1	2.7
#材料	Q1	1
#材料	N2	120
#材料	O2	2
#材料	P2	5.1
#材料	Q2	2
#材料	N3	140
#材料	O3	3
#材料	P3	6.9
#材料	Q3	3
#材料	N4	160
#材料	O4	4
#材料	P4	9.4
#材料	Q4	4
#材料	N5	180
#材料	O5	5
#材料	P5	11.2
#材料	Q5	5
#
# 関数	式	実Excel の 答え	型	実Excel が 出す 字	一致の 幅	土台
XIRR	=XIRR(A1:A5,B1:B5)	0.5478870809078217	Double	0.547887	相対 1e-9	1億・3か月ごと・5回／見当なし
XIRR	=XIRR(A1:A5,B1:B5,0.1)	0.5478870809078217	Double	0.547887	相対 1e-9	1億・3か月ごと・5回／見当 0.1
XIRR	=XIRR(A1:A5,B1:B5,0.01)	0.5478870868682864	Double	0.547887	相対 1e-9	1億・3か月ごと・5回／見当 0.01
XIRR	=XIRR(A1:A5,B1:B5,0.5)	0.5478870794177055	Double	0.547887	相対 1e-9	1億・3か月ごと・5回／見当 0.5
XIRR	=XIRR(A1:A5,B1:B5,-0.5)	#NUM!	Error	#NUM!	相対 1e-9	1億・3か月ごと・5回／見当 -0.5
XIRR	=XIRR(A1:A5,B1:B5,0)	0.5478870800781253	Double	0.547887	相対 1e-9	1億・3か月ごと・5回／見当 0
XIRR	=XIRR(C1:C3,D1:D3)	0.0602325290441513	Double	0.060233	相対 1e-9	1万・1年ごと・3回／見当なし
XIRR	=XIRR(C1:C3,D1:D3,0.1)	0.0602325290441513	Double	0.060233	相対 1e-9	1万・1年ごと・3回／見当 0.1
XIRR	=XIRR(C1:C3,D1:D3,0.01)	0.06023252964019775	Double	0.060233	相対 1e-9	1万・1年ごと・3回／見当 0.01
XIRR	=XIRR(C1:C3,D1:D3,0.5)	0.06023252382874489	Double	0.060233	相対 1e-9	1万・1年ごと・3回／見当 0.5
XIRR	=XIRR(C1:C3,D1:D3,-0.5)	#NUM!	Error	#NUM!	相対 1e-9	1万・1年ごと・3回／見当 -0.5
XIRR	=XIRR(C1:C3,D1:D3,0)	0.0602325244140625	Double	0.060233	相対 1e-9	1万・1年ごと・3回／見当 0
XIRR	=XIRR(E1:E8,F1:F8)	-0.24437783285975462	Double	-0.24438	相対 1e-9	100億・1か月ごと・8回／見当なし
XIRR	=XIRR(E1:E8,F1:F8,0.1)	-0.24437783285975462	Double	-0.24438	相対 1e-9	100億・1か月ごと・8回／見当 0.1
XIRR	=XIRR(E1:E8,F1:F8,0.01)	-0.2443778375536203	Double	-0.24438	相対 1e-9	100億・1か月ごと・8回／見当 0.01
XIRR	=XIRR(E1:E8,F1:F8,0.5)	-0.24437784031033516	Double	-0.24438	相対 1e-9	100億・1か月ごと・8回／見当 0.5
XIRR	=XIRR(E1:E8,F1:F8,-0.5)	-0.24437784031033516	Double	-0.24438	相対 1e-9	100億・1か月ごと・8回／見当 -0.5
XIRR	=XIRR(E1:E8,F1:F8,0)	-0.2443778342682496	Double	-0.24438	相対 1e-9	100億・1か月ごと・8回／見当 0
XIRR	=XIRR(G1:G3,H1:H3)	#NUM!	Error	#NUM!	相対 1e-9	★全部プラス（境目）★／見当なし
XIRR	=XIRR(G1:G3,H1:H3,0.1)	#NUM!	Error	#NUM!	相対 1e-9	★全部プラス（境目）★／見当 0.1
XIRR	=XIRR(G1:G3,H1:H3,0.01)	#NUM!	Error	#NUM!	相対 1e-9	★全部プラス（境目）★／見当 0.01
XIRR	=XIRR(G1:G3,H1:H3,0.5)	#NUM!	Error	#NUM!	相対 1e-9	★全部プラス（境目）★／見当 0.5
XIRR	=XIRR(G1:G3,H1:H3,-0.5)	#NUM!	Error	#NUM!	相対 1e-9	★全部プラス（境目）★／見当 -0.5
XIRR	=XIRR(G1:G3,H1:H3,0)	#NUM!	Error	#NUM!	相対 1e-9	★全部プラス（境目）★／見当 0
XIRR	=XIRR(I1:I3,J1:J3)	#NUM!	Error	#NUM!	相対 1e-9	★日付が逆順（境目）★／見当なし
XIRR	=XIRR(I1:I3,J1:J3,0.1)	#NUM!	Error	#NUM!	相対 1e-9	★日付が逆順（境目）★／見当 0.1
XIRR	=XIRR(I1:I3,J1:J3,0.01)	#NUM!	Error	#NUM!	相対 1e-9	★日付が逆順（境目）★／見当 0.01
XIRR	=XIRR(I1:I3,J1:J3,0.5)	#NUM!	Error	#NUM!	相対 1e-9	★日付が逆順（境目）★／見当 0.5
XIRR	=XIRR(I1:I3,J1:J3,-0.5)	#NUM!	Error	#NUM!	相対 1e-9	★日付が逆順（境目）★／見当 -0.5
XIRR	=XIRR(I1:I3,J1:J3,0)	#NUM!	Error	#NUM!	相対 1e-9	★日付が逆順（境目）★／見当 0
XIRR	=XIRR(K1:K2,L1:L2)	0.09999999403953552	Double	0.1	相対 1e-9	★2回だけ（一番短い）★／見当なし
XIRR	=XIRR(K1:K2,L1:L2,0.1)	0.09999999403953552	Double	0.1	相対 1e-9	★2回だけ（一番短い）★／見当 0.1
XIRR	=XIRR(K1:K2,L1:L2,0.01)	0.09999999523162842	Double	0.1	相対 1e-9	★2回だけ（一番短い）★／見当 0.01
XIRR	=XIRR(K1:K2,L1:L2,0.5)	0.09999999776482582	Double	0.1	相対 1e-9	★2回だけ（一番短い）★／見当 0.5
XIRR	=XIRR(K1:K2,L1:L2,-0.5)	#NUM!	Error	#NUM!	相対 1e-9	★2回だけ（一番短い）★／見当 -0.5
XIRR	=XIRR(K1:K2,L1:L2,0)	0.0999999951171875	Double	0.1	相対 1e-9	★2回だけ（一番短い）★／見当 0
LINEST	=INDEX(LINEST(N1:N5,O1:O5),1,1)	19.999999999999993	Double	20	相対 1e-12	きれいに 乗る（傾き20・切片80）／傾き
