# ★LINEST を ★丸めが 見える データ★で 測り直した★（2026-09-08）
# ★なぜ 取り直したか★
#   1回目は 傾きが 20 と 2.13 の 2組だけ＝★どちらも 4桁で ぴったり 表せる★
#   ⇒ 4桁に 丸めても 答えが 変わらず、押したら 相対差 ★3.55e-16★
#   ⇒★★測ったのに 物差しが 空洞★★＝★桁が 出る データで 取り直した★
# ★組（★桁が 出る 物を わざと 入れた★）★
#   A/B きれいに乗る（傾き20・1回目と同じ）／ C/D 端数2桁（傾き2.13・1回目と同じ）
#   E/F ★7で割る★／ G/H ★3で割る★／ I/J ★ばらつく（7点）★
#   K/L ★小さい数★／ M/N ★大きい数★
# ★別の 関数で 裏取り しない★＝LINEST は LINEST の 数と だけ 比べる
#   （実Excel の 中で LINEST 19.999999999999993 ／ SLOPE 20＝違う 答え）
# ★うちは エンジンに LINEST が 積まれて いない★
#   =INDEX(LINEST(…),1,1) … うち ★#NAME?★＝★入れ子に すると 動かない★
#   動くのは JS層が 拾う ★裸の =LINEST(範囲,範囲) だけ★
#
# ★★押した 結果（2026-09-08）★★
#   ★裸の =LINEST(範囲,範囲)（JS層・4桁の 丸めが 在る 道）★
#     =LINEST(K1:K5,L1:L5) 実Excel 0.0010799999999999998 ／ うち ★0.0011★ 相対 ★1.85e-2★ ←一番 悪い
#     =LINEST(E1:E5,F1:F5) 実Excel 0.14285714285714282   ／ うち 0.1429   相対 3.00e-4
#     =LINEST(G1:G5,H1:H5) 実Excel 0.33333333333333337   ／ うち 0.3333   相対 1.00e-4
#     =LINEST(I1:I7,J1:J7) 実Excel 0.6428571428571429    ／ うち 0.6429   相対 6.67e-5
#     =LINEST(A1:A5,B1:B5) 実Excel 19.999999999999993    ／ うち 20       相対 3.55e-16 ←★1回目の 組★
#     =LINEST(C1:C5,D1:D5) 実Excel 2.1299999999999994    ／ うち 2.13     相対 2.08e-16 ←★1回目の 組★
#     =LINEST(M1:M5,N1:N5) 実Excel 1111088               ／ うち 1111088  相対 0
#   ⇒★一番 悪くて 相対 1.85e-2＝約 1.9% ずれる（小さい 数ほど ひどい）★
#   ⇒★XIRR の 2.4e-5 より ★770倍 悪い★
#   ⇒★1回目の 2組は 3.55e-16／2.08e-16＝★丸めが 見えなかった★（見本が 甘かった 証拠）
#
#   ★★入れ子の =INDEX(LINEST(…),1,1) … うちは ★7組 14本 全部 #NAME?★★★
#     ⇒★エンジンに LINEST が 積まれて いない★
#     ⇒ しかも うちは ★傾き 1つしか 返して いない★（LINEST は 本来 表を 返す）
#     ⇒★★「在るように 見えて 実は 無い」＝別件（2件目）★★
#       ★丸めの 件とは 原因も 直し方も 違う★
#         丸め … 出す 時の 事 ／ 入れ子 … 積んで いない 事
#         丸めを 外す ／ エンジンに 積む
#
# ★★一致の 幅 … ★仮に 相対 1e-12★★★
#   ★★これは ★仮★です＝丸めを 外した 後に 押し直して 決め直します★★
#   理由 …★今は 4桁の 丸めが 効いて いて ★本当の 差が 見えない★
#          （丸めの せいの 1.85e-2 が 出るだけで、うちの 計算の 良し悪しが 分からない）
#   ⇒★決め直したら ★前後 両方★ 取り直す★
#   ⇒★★仮の まま PR に 載せない★★（PR の 幅は 測って 決めた 物だけ）
#
# ★★材料（機械が 読む）★★ … `#材料<タブ>マス<タブ>値` の 形
#材料	A1	100
#材料	B1	1
#材料	A2	120
#材料	B2	2
#材料	A3	140
#材料	B3	3
#材料	A4	160
#材料	B4	4
#材料	A5	180
#材料	B5	5
#材料	C1	2.7
#材料	D1	1
#材料	C2	5.1
#材料	D2	2
#材料	C3	6.9
#材料	D3	3
#材料	C4	9.4
#材料	D4	4
#材料	C5	11.2
#材料	D5	5
#材料	E1	1
#材料	F1	7
#材料	E2	2
#材料	F2	14
#材料	E3	3
#材料	F3	21
#材料	E4	4
#材料	F4	28
#材料	E5	5
#材料	F5	35
#材料	G1	1
#材料	H1	3
#材料	G2	2
#材料	H2	6
#材料	G3	3
#材料	H3	9
#材料	G4	4
#材料	H4	12
#材料	G5	5
#材料	H5	15
#材料	I1	1
#材料	J1	1
#材料	I2	5
#材料	J2	2
#材料	I3	2
#材料	J3	3
#材料	I4	8
#材料	J4	4
#材料	I5	3
#材料	J5	5
#材料	I6	9
#材料	J6	6
#材料	I7	4
#材料	J7	7
#材料	K1	0.001
#材料	L1	1
#材料	K2	0.0023
#材料	L2	2
#材料	K3	0.0031
#材料	L3	3
#材料	K4	0.0047
#材料	L4	4
#材料	K5	0.0052
#材料	L5	5
#材料	M1	1234567
#材料	N1	1
#材料	M2	2345678
#材料	N2	2
#材料	M3	3456789
#材料	N3	3
#材料	M4	4567890
#材料	N4	4
#材料	M5	5678901
#材料	N5	5
#
# 関数	式	実Excel の 答え	型	実Excel が 出す 字	土台
LINEST	=INDEX(LINEST(A1:A5,B1:B5),1,1)	19.999999999999993	Double	20	きれいに乗る（傾き20）／傾き
LINEST	=INDEX(LINEST(A1:A5,B1:B5),1,2)	80.00000000000003	Double	80	きれいに乗る（傾き20）／切片
LINEST	=LINEST(A1:A5,B1:B5)	19.999999999999993	Double	20	きれいに乗る（傾き20）／裸（★JS層が 拾う 形★）
LINEST	=INDEX(LINEST(C1:C5,D1:D5),1,1)	2.1299999999999994	Double	2.13	端数2桁（傾き2.13）／傾き
LINEST	=INDEX(LINEST(C1:C5,D1:D5),1,2)	0.6700000000000008	Double	0.67	端数2桁（傾き2.13）／切片
LINEST	=LINEST(C1:C5,D1:D5)	2.1299999999999994	Double	2.13	端数2桁（傾き2.13）／裸（★JS層が 拾う 形★）
LINEST	=INDEX(LINEST(E1:E5,F1:F5),1,1)	0.14285714285714282	Double	0.142857	★7で割る★／傾き
LINEST	=INDEX(LINEST(E1:E5,F1:F5),1,2)	8.881784197001252E-16	Double	8.88E-16	★7で割る★／切片
LINEST	=LINEST(E1:E5,F1:F5)	0.14285714285714282	Double	0.142857	★7で割る★／裸（★JS層が 拾う 形★）
LINEST	=INDEX(LINEST(G1:G5,H1:H5),1,1)	0.33333333333333337	Double	0.333333	★3で割る★／傾き
LINEST	=INDEX(LINEST(G1:G5,H1:H5),1,2)	-4.440892098500626E-16	Double	-4.4E-16	★3で割る★／切片
LINEST	=LINEST(G1:G5,H1:H5)	0.33333333333333337	Double	0.333333	★3で割る★／裸（★JS層が 拾う 形★）
LINEST	=INDEX(LINEST(I1:I7,J1:J7),1,1)	0.6428571428571429	Double	0.642857	★ばらつく（7点）★／傾き
LINEST	=INDEX(LINEST(I1:I7,J1:J7),1,2)	1.9999999999999996	Double	2	★ばらつく（7点）★／切片
LINEST	=LINEST(I1:I7,J1:J7)	0.6428571428571429	Double	0.642857	★ばらつく（7点）★／裸（★JS層が 拾う 形★）
LINEST	=INDEX(LINEST(K1:K5,L1:L5),1,1)	0.0010799999999999998	Double	0.00108	★小さい数★／傾き
LINEST	=INDEX(LINEST(K1:K5,L1:L5),1,2)	2.0000000000000486E-05	Double	2E-05	★小さい数★／切片
LINEST	=LINEST(K1:K5,L1:L5)	0.0010799999999999998	Double	0.00108	★小さい数★／裸（★JS層が 拾う 形★）
LINEST	=INDEX(LINEST(M1:M5,N1:N5),1,1)	1111088	Double	1111088	★大きい数★／傾き
LINEST	=INDEX(LINEST(M1:M5,N1:N5),1,2)	123501	Double	123501	★大きい数★／切片
LINEST	=LINEST(M1:M5,N1:N5)	1111088	Double	1111088	★大きい数★／裸（★JS層が 拾う 形★）
