# ★XIRR が どこで #NUM! に なるかを 実Excel に 聞いた★（2026-09-09）
#
# ★なぜ★ 実Excel が #NUM! を 返す 組で うちは ★数を 返して いる★
#   =XIRR(全部プラス) … 実Excel #NUM! ／ うち 375686054239746.3
#   =XIRR(日付が逆順) … 実Excel #NUM! ／ うち -0.5002981524324954
#   ⇒★誤りに ならず 数が 出る＝お客さんは 気づけない★（★お金の 利回り★）
#
# ★どこから 断るかは 私が 決めない＝実Excel の 答えの 通り★
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
#
# ★★材料（機械が 読む）★★ … `#材料<タブ>マス<タブ>値` の 形
#材料	A1	100
#材料	B1	45292
#材料	A2	200
#材料	B2	45383
#材料	A3	300
#材料	B3	45474
#材料	C1	-100
#材料	D1	45292
#材料	C2	-200
#材料	D2	45383
#材料	C3	-300
#材料	D3	45474
#材料	E1	-1000
#材料	F1	45292
#材料	E2	600
#材料	F2	45383
#材料	E3	700
#材料	F3	45474
#材料	G1	-1000
#材料	H1	45292
#材料	G2	1100
#材料	H2	45657
#材料	I1	-1000
#材料	J1	45292
#材料	I2	0
#材料	J2	45383
#材料	I3	1100
#材料	J3	45474
#材料	K1	0
#材料	L1	45292
#材料	K2	0
#材料	L2	45383
#材料	K3	0
#材料	L3	45474
#材料	M1	-1000
#材料	N1	45474
#材料	M2	600
#材料	N2	45383
#材料	M3	700
#材料	N3	45292
#材料	O1	-1000
#材料	P1	45383
#材料	O2	600
#材料	P2	45292
#材料	O3	700
#材料	P3	45474
#材料	Q1	-1000
#材料	R1	45292
#材料	Q2	600
#材料	R2	45292
#材料	Q3	700
#材料	R3	45474
#材料	S1	-1000
#材料	T1	45292
#材料	U1	-1000
#材料	V1	-10
#材料	U2	600
#材料	V2	45383
#材料	U3	700
#材料	V3	45474
#材料	X1	-1000
#材料	X2	600
#材料	X3	700
#材料	Y1	45292
#材料	Y2	45383
#材料	AA1	-1000
#材料	AA3	1100
#材料	AB1	45292
#材料	AB2	45383
#材料	AB3	45474
#材料	AD1	-1000
#材料	AD3	1100
#材料	AE1	45292
#材料	AE2	45383
#材料	AE3	45474
#材料	AD2	★字「あ」★
#材料	AA2	★空★
#
# 組	式	実Excel の 答え	型	窓２(=(式)=0)	何を 見て いるか
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3)	#NUM!	Error	—	見当なし
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3,0.1)	#NUM!	Error	—	見当 0.1
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3,0)	#NUM!	Error	—	見当 0
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3,-0.9)	#NUM!	Error	—	見当 -0.9
★境目★ 全部 プラス	=XIRR(A1:A3,B1:B3,10)	#NUM!	Error	—	見当 10
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3)	#NUM!	Error	—	見当なし
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3,0.1)	#NUM!	Error	—	見当 0.1
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3,0)	#NUM!	Error	—	見当 0
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3,-0.9)	#NUM!	Error	—	見当 -0.9
★境目★ 全部 マイナス	=XIRR(C1:C3,D1:D3,10)	#NUM!	Error	—	見当 10
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3)	1.00119332075119	Double	—	見当なし
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3,0.1)	1.00119332075119	Double	—	見当 0.1
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3,0)	1.0011933300781244	Double	—	見当 0
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3,-0.9)	#NUM!	Error	—	見当 -0.9
普通（プラスと マイナス）	=XIRR(E1:E3,F1:F3,10)	1.0011933278292418	Double	—	見当 10
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2)	0.09999999403953552	Double	—	見当なし
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2,0.1)	0.09999999403953552	Double	—	見当 0.1
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2,0)	0.0999999951171875	Double	—	見当 0
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2,-0.9)	#NUM!	Error	—	見当 -0.9
★一番 短い（2件）★	=XIRR(G1:G2,H1:H2,10)	0.1000000024214387	Double	—	見当 10
★0 を 含む★	=XIRR(I1:I3,J1:J3)	0.21063382029533387	Double	—	見当なし
★0 を 含む★	=XIRR(I1:I3,J1:J3,0.1)	0.21063382029533387	Double	—	見当 0.1
★0 を 含む★	=XIRR(I1:I3,J1:J3,0)	0.21063382324218755	Double	—	見当 0
★0 を 含む★	=XIRR(I1:I3,J1:J3,-0.9)	#NUM!	Error	—	見当 -0.9
★0 を 含む★	=XIRR(I1:I3,J1:J3,10)	0.21063382271677256	Double	—	見当 10
★全部 0★	=XIRR(K1:K3,L1:L3)	#NUM!	Error	—	見当なし
★全部 0★	=XIRR(K1:K3,L1:L3,0.1)	#NUM!	Error	—	見当 0.1
★全部 0★	=XIRR(K1:K3,L1:L3,0)	#NUM!	Error	—	見当 0
★全部 0★	=XIRR(K1:K3,L1:L3,-0.9)	#NUM!	Error	—	見当 -0.9
★全部 0★	=XIRR(K1:K3,L1:L3,10)	#NUM!	Error	—	見当 10
★日付が 逆順★	=XIRR(M1:M3,N1:N3)	#NUM!	Error	—	見当なし
★日付が 逆順★	=XIRR(M1:M3,N1:N3,0.1)	#NUM!	Error	—	見当 0.1
★日付が 逆順★	=XIRR(M1:M3,N1:N3,0)	#NUM!	Error	—	見当 0
★日付が 逆順★	=XIRR(M1:M3,N1:N3,-0.9)	#NUM!	Error	—	見当 -0.9
★日付が 逆順★	=XIRR(M1:M3,N1:N3,10)	#NUM!	Error	—	見当 10
★日付が バラバラ★	=XIRR(O1:O3,P1:P3)	#NUM!	Error	—	見当なし
★日付が バラバラ★	=XIRR(O1:O3,P1:P3,0.1)	#NUM!	Error	—	見当 0.1
★日付が バラバラ★	=XIRR(O1:O3,P1:P3,0)	#NUM!	Error	—	見当 0
★日付が バラバラ★	=XIRR(O1:O3,P1:P3,-0.9)	#NUM!	Error	—	見当 -0.9
★日付が バラバラ★	=XIRR(O1:O3,P1:P3,10)	#NUM!	Error	—	見当 10
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3)	2.071931099891663	Double	—	見当なし
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3,0.1)	2.071931099891663	Double	—	見当 0.1
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3,0)	2.07193111328125	Double	—	見当 0
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3,-0.9)	#NUM!	Error	—	見当 -0.9
★同じ 日付が 2つ★	=XIRR(Q1:Q3,R1:R3,10)	2.07193112000823	Double	—	見当 10
★1件だけ★	=XIRR(S1:S1,T1:T1)	#N/A	Error	—	見当なし
★1件だけ★	=XIRR(S1:S1,T1:T1,0.1)	#N/A	Error	—	見当 0.1
★1件だけ★	=XIRR(S1:S1,T1:T1,0)	#N/A	Error	—	見当 0
★1件だけ★	=XIRR(S1:S1,T1:T1,-0.9)	#N/A	Error	—	見当 -0.9
★1件だけ★	=XIRR(S1:S1,T1:T1,10)	#N/A	Error	—	見当 10
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3)	#NUM!	Error	—	見当なし
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3,0.1)	#NUM!	Error	—	見当 0.1
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3,0)	#NUM!	Error	—	見当 0
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3,-0.9)	#NUM!	Error	—	見当 -0.9
★日付が 1900年より 前（負）★	=XIRR(U1:U3,V1:V3,10)	#NUM!	Error	—	見当 10
★値 3・日付 2（数が 違う）★	=XIRR(X1:X3,Y1:Y2)	#NUM!	Error	—	数が 違う
★空が 混ざる★	=XIRR(AA1:AA3,AB1:AB3)	0.21063382029533387	Double	—	空の マス
★字が 混ざる★	=XIRR(AD1:AD3,AE1:AE3)	#VALUE!	Error	—	字の マス
★見当が −1★	=XIRR(E1:E3,F1:F3,-1)	#NUM!	Error	—	見当の 境目
★見当が −2★	=XIRR(E1:E3,F1:F3,-2)	#NUM!	Error	—	見当の 境目
★見当が 1e6★	=XIRR(E1:E3,F1:F3,1000000)	1.0011933255782424	Double	—	見当の 境目
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.99)	#NUM!	Error	—	見当 -0.99
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.95)	#NUM!	Error	—	見当 -0.95
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.9)	#NUM!	Error	—	見当 -0.9
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.8)	#NUM!	Error	—	見当 -0.8
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.7)	#NUM!	Error	—	見当 -0.7
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.5)	#NUM!	Error	—	見当 -0.5
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.3)	#NUM!	Error	—	見当 -0.3
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.1)	#NUM!	Error	—	見当 -0.1
★見当の 刻み★	=XIRR(E1:E3,F1:F3,-0.01)	#NUM!	Error	—	見当 -0.01
★見当の 刻み★	=XIRR(E1:E3,F1:F3,0.01)	1.0011933231353758	Double	—	見当 0.01
★見当の 刻み★	=XIRR(E1:E3,F1:F3,0.5)	1.001193329691887	Double	—	見当 0.5
★見当の 刻み★	=XIRR(E1:E3,F1:F3,1)	1.001193329691887	Double	—	見当 1
★見当の 刻み★	=XIRR(E1:E3,F1:F3,2)	1.001193329691887	Double	—	見当 2
★見当の 刻み★	=XIRR(E1:E3,F1:F3,5)	1.0011933278292418	Double	—	見当 5
★見当の 刻み★	=XIRR(E1:E3,F1:F3,100)	1.0011933161877096	Double	—	見当 100
★見当の 刻み★	=XIRR(E1:E3,F1:F3,10000)	1.0011933136411244	Double	—	見当 10000
